sample_index,time_s,voltage_mV,comment
91,9.0,187.0840,OCP demonstration point
92,9.1,187.0977,OCP demonstration point
93,9.2,187.1128,OCP demonstration point
94,9.3,187.1293,OCP demonstration point
95,9.4,187.1470,OCP demonstration point
96,9.5,187.1658,OCP demonstration point
97,9.6,187.1856,OCP demonstration point
98,9.7,187.2063,OCP demonstration point
99,9.8,187.2276,OCP demonstration point
100,9.9,187.2494,OCP demonstration point
101,10.0,187.2717,OCP demonstration point
102,10.1,187.2941,OCP demonstration point
103,10.2,187.3167,OCP demonstration point
104,10.3,187.3391,OCP demonstration point
105,10.4,187.3613,OCP demonstration point
106,10.5,187.3831,OCP demonstration point
107,10.6,187.4044,OCP demonstration point
108,10.7,187.4251,OCP demonstration point
109,10.8,187.4449,OCP demonstration point
110,10.9,187.4639,OCP demonstration point
111,11.0,187.4819,OCP demonstration point
112,11.1,187.4988,OCP demonstration point
113,11.2,187.5145,OCP demonstration point
114,11.3,187.5290,OCP demonstration point
115,11.4,187.5422,OCP demonstration point
116,11.5,187.5540,OCP demonstration point
117,11.6,187.5645,OCP demonstration point
118,11.7,187.5736,OCP demonstration point
119,11.8,187.5813,OCP demonstration point
120,11.9,187.5876,OCP demonstration point
121,12.0,187.5926,OCP demonstration point
122,12.1,187.5963,OCP demonstration point
123,12.2,187.5987,OCP demonstration point
124,12.3,187.5999,OCP demonstration point
125,12.4,187.6000,OCP demonstration point
126,12.5,187.5989,OCP demonstration point
127,12.6,187.5969,OCP demonstration point
128,12.7,187.5939,OCP demonstration point
129,12.8,187.5902,OCP demonstration point
130,12.9,187.5856,OCP demonstration point
131,13.0,187.5805,OCP demonstration point
132,13.1,187.5748,OCP demonstration point
133,13.2,187.5686,OCP demonstration point
134,13.3,187.5621,OCP demonstration point
135,13.4,187.5553,OCP demonstration point
136,13.5,187.5483,OCP demonstration point
137,13.6,187.5412,OCP demonstration point
138,13.7,187.5340,OCP demonstration point
139,13.8,187.5269,OCP demonstration point
140,13.9,187.5199,OCP demonstration point
141,14.0,187.5130,OCP demonstration point
142,14.1,187.5062,OCP demonstration point
143,14.2,187.4997,OCP demonstration point
144,14.3,187.4934,OCP demonstration point
145,14.4,187.4873,OCP demonstration point
146,14.5,187.4815,OCP demonstration point
147,14.6,187.4759,OCP demonstration point
148,14.7,187.4706,OCP demonstration point
149,14.8,187.4654,OCP demonstration point
150,14.9,187.4604,OCP demonstration point
151,15.0,187.4555,OCP demonstration point
152,15.1,187.4506,OCP demonstration point
153,15.2,187.4458,OCP demonstration point
154,15.3,187.4410,OCP demonstration point
155,15.4,187.4361,OCP demonstration point
156,15.5,187.4311,OCP demonstration point
157,15.6,187.4258,OCP demonstration point
158,15.7,187.4203,OCP demonstration point
159,15.8,187.4144,OCP demonstration point
160,15.9,187.4082,OCP demonstration point
161,16.0,187.4015,OCP demonstration point
162,16.1,187.3944,OCP demonstration point
163,16.2,187.3867,OCP demonstration point
164,16.3,187.3785,OCP demonstration point
165,16.4,187.3697,OCP demonstration point
166,16.5,187.3602,OCP demonstration point
167,16.6,187.3502,OCP demonstration point
168,16.7,187.3395,OCP demonstration point
169,16.8,187.3282,OCP demonstration point
170,16.9,187.3164,OCP demonstration point
171,17.0,187.3039,OCP demonstration point
172,17.1,187.2910,OCP demonstration point
173,17.2,187.2776,OCP demonstration point
174,17.3,187.2638,OCP demonstration point
175,17.4,187.2497,OCP demonstration point
176,17.5,187.2353,OCP demonstration point
177,17.6,187.2207,OCP demonstration point
178,17.7,187.2062,OCP demonstration point
179,17.8,187.1916,OCP demonstration point
180,17.9,187.1772,OCP demonstration point
181,18.0,187.1631,OCP demonstration point
182,18.1,187.1494,OCP demonstration point
183,18.2,187.1362,OCP demonstration point
184,18.3,187.1236,OCP demonstration point
185,18.4,187.1118,OCP demonstration point
186,18.5,187.1008,OCP demonstration point
187,18.6,187.0909,OCP demonstration point
188,18.7,187.0820,OCP demonstration point
189,18.8,187.0744,OCP demonstration point
190,18.9,187.0680,OCP demonstration point
191,19.0,187.0631,OCP demonstration point
192,19.1,187.0597,OCP demonstration point
193,19.2,187.0578,OCP demonstration point
194,19.3,187.0575,OCP demonstration point
195,19.4,187.0588,OCP demonstration point
196,19.5,187.0619,OCP demonstration point
197,19.6,187.0666,OCP demonstration point
198,19.7,187.0731,OCP demonstration point
199,19.8,187.0812,OCP demonstration point
200,19.9,187.0910,OCP demonstration point
201,20.0,187.1025,OCP demonstration point
202,20.1,187.1155,OCP demonstration point
203,20.2,187.1301,OCP demonstration point
204,20.3,187.1461,OCP demonstration point
205,20.4,187.1634,OCP demonstration point
206,20.5,187.1820,OCP demonstration point
207,20.6,187.2017,OCP demonstration point
208,20.7,187.2223,OCP demonstration point
209,20.8,187.2439,OCP demonstration point
210,20.9,187.2661,OCP demonstration point
211,21.0,187.2889,OCP demonstration point
212,21.1,187.3121,OCP demonstration point
213,21.2,187.3356,OCP demonstration point
214,21.3,187.3591,OCP demonstration point
215,21.4,187.3826,OCP demonstration point
216,21.5,187.4058,OCP demonstration point
217,21.6,187.4287,OCP demonstration point
218,21.7,187.4510,OCP demonstration point
219,21.8,187.4727,OCP demonstration point
220,21.9,187.4935,OCP demonstration point
221,22.0,187.5133,OCP demonstration point
222,22.1,187.5321,OCP demonstration point
223,22.2,187.5497,OCP demonstration point
224,22.3,187.5660,OCP demonstration point
225,22.4,187.5809,OCP demonstration point
226,22.5,187.5943,OCP demonstration point
227,22.6,187.6063,OCP demonstration point
228,22.7,187.6167,OCP demonstration point
229,22.8,187.6255,OCP demonstration point
230,22.9,187.6326,OCP demonstration point
231,23.0,187.6382,OCP demonstration point
232,23.1,187.6421,OCP demonstration point
233,23.2,187.6445,OCP demonstration point
234,23.3,187.6453,OCP demonstration point
235,23.4,187.6446,OCP demonstration point
236,23.5,187.6425,OCP demonstration point
237,23.6,187.6390,OCP demonstration point
238,23.7,187.6342,OCP demonstration point
239,23.8,187.6281,OCP demonstration point
240,23.9,187.6210,OCP demonstration point
241,24.0,187.6129,OCP demonstration point
242,24.1,187.6039,OCP demonstration point
243,24.2,187.5941,OCP demonstration point
244,24.3,187.5836,OCP demonstration point
245,24.4,187.5725,OCP demonstration point
246,24.5,187.5610,OCP demonstration point
247,24.6,187.5491,OCP demonstration point
248,24.7,187.5370,OCP demonstration point
249,24.8,187.5248,OCP demonstration point
250,24.9,187.5125,OCP demonstration point
251,25.0,187.5003,OCP demonstration point
252,25.1,187.4882,OCP demonstration point
253,25.2,187.4764,OCP demonstration point
254,25.3,187.4648,OCP demonstration point
255,25.4,187.4536,OCP demonstration point
256,25.5,187.4427,OCP demonstration point
257,25.6,187.4323,OCP demonstration point
258,25.7,187.4223,OCP demonstration point
259,25.8,187.4128,OCP demonstration point
260,25.9,187.4037,OCP demonstration point
261,26.0,187.3952,OCP demonstration point
262,26.1,187.3871,OCP demonstration point
263,26.2,187.3794,OCP demonstration point
264,26.3,187.3721,OCP demonstration point
265,26.4,187.3652,OCP demonstration point
266,26.5,187.3587,OCP demonstration point
267,26.6,187.3524,OCP demonstration point
268,26.7,187.3463,OCP demonstration point
269,26.8,187.3404,OCP demonstration point
270,26.9,187.3347,OCP demonstration point
271,27.0,187.3290,OCP demonstration point
272,27.1,187.3233,OCP demonstration point
273,27.2,187.3175,OCP demonstration point
274,27.3,187.3116,OCP demonstration point
275,27.4,187.3055,OCP demonstration point
276,27.5,187.2993,OCP demonstration point
277,27.6,187.2928,OCP demonstration point
278,27.7,187.2860,OCP demonstration point
279,27.8,187.2788,OCP demonstration point
280,27.9,187.2714,OCP demonstration point
281,28.0,187.2636,OCP demonstration point
282,28.1,187.2555,OCP demonstration point
283,28.2,187.2470,OCP demonstration point
284,28.3,187.2382,OCP demonstration point
285,28.4,187.2291,OCP demonstration point
286,28.5,187.2198,OCP demonstration point
287,28.6,187.2103,OCP demonstration point
288,28.7,187.2006,OCP demonstration point
289,28.8,187.1908,OCP demonstration point
290,28.9,187.1811,OCP demonstration point
291,29.0,187.1714,OCP demonstration point
292,29.1,187.1619,OCP demonstration point
293,29.2,187.1526,OCP demonstration point
294,29.3,187.1437,OCP demonstration point
295,29.4,187.1352,OCP demonstration point
296,29.5,187.1273,OCP demonstration point
297,29.6,187.1200,OCP demonstration point
298,29.7,187.1135,OCP demonstration point
299,29.8,187.1079,OCP demonstration point
300,29.9,187.1032,OCP demonstration point
301,30.0,187.0996,OCP demonstration point
302,30.1,187.0971,OCP demonstration point
303,30.2,187.0958,OCP demonstration point
304,30.3,187.0959,OCP demonstration point
305,30.4,187.0973,OCP demonstration point
306,30.5,187.1001,OCP demonstration point
307,30.6,187.1044,OCP demonstration point
308,30.7,187.1101,OCP demonstration point
309,30.8,187.1174,OCP demonstration point
310,30.9,187.1262,OCP demonstration point
311,31.0,187.1364,OCP demonstration point
312,31.1,187.1482,OCP demonstration point
313,31.2,187.1614,OCP demonstration point
314,31.3,187.1759,OCP demonstration point
315,31.4,187.1919,OCP demonstration point
316,31.5,187.2090,OCP demonstration point
317,31.6,187.2274,OCP demonstration point
318,31.7,187.2468,OCP demonstration point
319,31.8,187.2671,OCP demonstration point
320,31.9,187.2883,OCP demonstration point
321,32.0,187.3101,OCP demonstration point
322,32.1,187.3326,OCP demonstration point
323,32.2,187.3554,OCP demonstration point
324,32.3,187.3785,OCP demonstration point
325,32.4,187.4017,OCP demonstration point
326,32.5,187.4248,OCP demonstration point
327,32.6,187.4478,OCP demonstration point
328,32.7,187.4703,OCP demonstration point
329,32.8,187.4924,OCP demonstration point
330,32.9,187.5137,OCP demonstration point
331,33.0,187.5343,OCP demonstration point
332,33.1,187.5538,OCP demonstration point
333,33.2,187.5723,OCP demonstration point
334,33.3,187.5896,OCP demonstration point
335,33.4,187.6055,OCP demonstration point
336,33.5,187.6199,OCP demonstration point
337,33.6,187.6329,OCP demonstration point
338,33.7,187.6442,OCP demonstration point
339,33.8,187.6539,OCP demonstration point
340,33.9,187.6618,OCP demonstration point
341,34.0,187.6680,OCP demonstration point
342,34.1,187.6724,OCP demonstration point
343,34.2,187.6750,OCP demonstration point
344,34.3,187.6759,OCP demonstration point
345,34.4,187.6750,OCP demonstration point
346,34.5,187.6725,OCP demonstration point
347,34.6,187.6682,OCP demonstration point
348,34.7,187.6624,OCP demonstration point
349,34.8,187.6551,OCP demonstration point
350,34.9,187.6463,OCP demonstration point
351,35.0,187.6362,OCP demonstration point
352,35.1,187.6249,OCP demonstration point
353,35.2,187.6125,OCP demonstration point
354,35.3,187.5991,OCP demonstration point
355,35.4,187.5849,OCP demonstration point
356,35.5,187.5699,OCP demonstration point
357,35.6,187.5543,OCP demonstration point
358,35.7,187.5382,OCP demonstration point
359,35.8,187.5218,OCP demonstration point
360,35.9,187.5052,OCP demonstration point
361,36.0,187.4885,OCP demonstration point
362,36.1,187.4718,OCP demonstration point
363,36.2,187.4553,OCP demonstration point
364,36.3,187.4390,OCP demonstration point
365,36.4,187.4231,OCP demonstration point
366,36.5,187.4076,OCP demonstration point
367,36.6,187.3926,OCP demonstration point
368,36.7,187.3782,OCP demonstration point
369,36.8,187.3644,OCP demonstration point
370,36.9,187.3514,OCP demonstration point
371,37.0,187.3390,OCP demonstration point
372,37.1,187.3275,OCP demonstration point
373,37.2,187.3167,OCP demonstration point
374,37.3,187.3066,OCP demonstration point
375,37.4,187.2974,OCP demonstration point
376,37.5,187.2889,OCP demonstration point
377,37.6,187.2811,OCP demonstration point
378,37.7,187.2740,OCP demonstration point
379,37.8,187.2676,OCP demonstration point
380,37.9,187.2617,OCP demonstration point
381,38.0,187.2565,OCP demonstration point
382,38.1,187.2517,OCP demonstration point
383,38.2,187.2473,OCP demonstration point
384,38.3,187.2433,OCP demonstration point
385,38.4,187.2396,OCP demonstration point
386,38.5,187.2362,OCP demonstration point
387,38.6,187.2329,OCP demonstration point
388,38.7,187.2297,OCP demonstration point
389,38.8,187.2266,OCP demonstration point
390,38.9,187.2235,OCP demonstration point
391,39.0,187.2204,OCP demonstration point
392,39.1,187.2171,OCP demonstration point
393,39.2,187.2138,OCP demonstration point
394,39.3,187.2103,OCP demonstration point
395,39.4,187.2067,OCP demonstration point
396,39.5,187.2029,OCP demonstration point
397,39.6,187.1989,OCP demonstration point
398,39.7,187.1948,OCP demonstration point
399,39.8,187.1905,OCP demonstration point
400,39.9,187.1862,OCP demonstration point
