step_index,step_name,target_potential_mV,global_time_s,step_time_s,current_uA,current_A,comment
1,COARSE_Ei_minus_100mV,87.360,44.9,3.4,-0.252625,-2.526250966322e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.0,3.5,-0.252767,-2.527670795398e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.1,3.6,-0.252823,-2.528229796046e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.2,3.7,-0.252781,-2.527808233916e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.3,3.8,-0.252636,-2.526363022269e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.4,3.9,-0.252393,-2.523930474043e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.5,4.0,-0.252062,-2.520623315222e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.6,4.1,-0.251662,-2.516622174587e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.7,4.2,-0.251216,-2.512162166023e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.8,4.3,-0.250752,-2.507515536013e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,45.9,4.4,-0.250297,-2.502971634695e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.0,4.5,-0.249882,-2.498815663292e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.1,4.6,-0.249531,-2.495307739662e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.2,4.7,-0.249266,-2.492663800687e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.3,4.8,-0.249104,-2.491039726948e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.4,4.9,-0.249052,-2.490519841277e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.5,5.0,-0.249111,-2.491110615265e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.6,5.1,-0.249274,-2.492740039783e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.7,5.2,-0.249526,-2.495262704401e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.8,5.3,-0.249847,-2.498470216166e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,46.9,5.4,-0.250211,-2.502106200603e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.0,5.5,-0.250588,-2.505884795180e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.1,5.6,-0.250951,-2.509511291943e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.2,5.7,-0.251270,-2.512703430049e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.3,5.8,-0.251521,-2.515211791782e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.4,5.9,-0.251684,-2.516837820746e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.5,6.0,-0.251745,-2.517448153617e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.6,6.1,-0.251698,-2.516984224509e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.7,6.2,-0.251547,-2.515466444237e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.8,6.3,-0.251299,-2.512992650708e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,47.9,6.4,-0.250973,-2.509730942575e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.0,6.5,-0.250591,-2.505907416137e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.1,6.6,-0.250179,-2.501789695519e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.2,6.7,-0.249767,-2.497667451598e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.3,6.8,-0.249383,-2.493831323787e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.4,6.9,-0.249055,-2.490551774773e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.5,7.0,-0.248806,-2.488059413171e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.6,7.1,-0.248653,-2.486528212522e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.7,7.2,-0.248606,-2.486062844765e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.8,7.3,-0.248669,-2.486691047638e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,48.9,7.4,-0.248836,-2.488361579973e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,49.0,7.5,-0.249095,-2.490947913183e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,49.1,7.6,-0.249426,-2.494257390782e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,49.2,7.7,-0.249805,-2.498045190801e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,49.3,7.8,-0.250203,-2.502032077261e-07,generated demonstration data
1,COARSE_Ei_minus_100mV,87.360,49.4,7.9,-0.250592,-2.505924651786e-07,generated demonstration data
2,COARSE_Ei,187.360,56.0,0.0,0.019364,1.936394614024e-08,generated demonstration data
2,COARSE_Ei,187.360,56.1,0.1,0.017907,1.790690149921e-08,generated demonstration data
2,COARSE_Ei,187.360,56.2,0.2,0.016452,1.645206795614e-08,generated demonstration data
2,COARSE_Ei,187.360,56.3,0.3,0.015015,1.501529332458e-08,generated demonstration data
2,COARSE_Ei,187.360,56.4,0.4,0.013617,1.361730325120e-08,generated demonstration data
2,COARSE_Ei,187.360,56.5,0.5,0.012282,1.228176983366e-08,generated demonstration data
2,COARSE_Ei,187.360,56.6,0.6,0.011033,1.103319573079e-08,generated demonstration data
2,COARSE_Ei,187.360,56.7,0.7,0.009895,9.894765356572e-09,generated demonstration data
2,COARSE_Ei,187.360,56.8,0.8,0.008886,8.886317278426e-09,generated demonstration data
2,COARSE_Ei,187.360,56.9,0.9,0.008023,8.022583271231e-09,generated demonstration data
2,COARSE_Ei,187.360,57.0,1.0,0.007312,7.311820239456e-09,generated demonstration data
2,COARSE_Ei,187.360,57.1,1.1,0.006755,6.754932809584e-09,generated demonstration data
2,COARSE_Ei,187.360,57.2,1.2,0.006345,6.345148876105e-09,generated demonstration data
2,COARSE_Ei,187.360,57.3,1.3,0.006068,6.068270336420e-09,generated demonstration data
2,COARSE_Ei,187.360,57.4,1.4,0.005903,5.903479580868e-09,generated demonstration data
2,COARSE_Ei,187.360,57.5,1.5,0.005825,5.824642039713e-09,generated demonstration data
2,COARSE_Ei,187.360,57.6,1.6,0.005802,5.802009152911e-09,generated demonstration data
2,COARSE_Ei,187.360,57.7,1.7,0.005804,5.804197130268e-09,generated demonstration data
2,COARSE_Ei,187.360,57.8,1.8,0.005800,5.800296914991e-09,generated demonstration data
2,COARSE_Ei,187.360,57.9,1.9,0.005762,5.761961301637e-09,generated demonstration data
2,COARSE_Ei,187.360,58.0,2.0,0.005665,5.665316877430e-09,generated demonstration data
2,COARSE_Ei,187.360,58.1,2.1,0.005493,5.492561229422e-09,generated demonstration data
2,COARSE_Ei,187.360,58.2,2.2,0.005233,5.233128761830e-09,generated demonstration data
2,COARSE_Ei,187.360,58.3,2.3,0.004884,4.884339835738e-09,generated demonstration data
2,COARSE_Ei,187.360,58.4,2.4,0.004451,4.451485500011e-09,generated demonstration data
2,COARSE_Ei,187.360,58.5,2.5,0.003947,3.947341101190e-09,generated demonstration data
2,COARSE_Ei,187.360,58.6,2.6,0.003391,3.391143563621e-09,generated demonstration data
2,COARSE_Ei,187.360,58.7,2.7,0.002807,2.807106105859e-09,generated demonstration data
2,COARSE_Ei,187.360,58.8,2.8,0.002223,2.222577776188e-09,generated demonstration data
2,COARSE_Ei,187.360,58.9,2.9,0.001666,1.665981008258e-09,generated demonstration data
2,COARSE_Ei,187.360,59.0,3.0,0.001165,1.164676543193e-09,generated demonstration data
2,COARSE_Ei,187.360,59.1,3.1,0.000743,7.429103649033e-10,generated demonstration data
2,COARSE_Ei,187.360,59.2,3.2,0.000420,4.199913661770e-10,generated demonstration data
2,COARSE_Ei,187.360,59.3,3.3,0.000209,2.088317349186e-10,generated demonstration data
2,COARSE_Ei,187.360,59.4,3.4,0.000115,1.149557373606e-10,generated demonstration data
2,COARSE_Ei,187.360,59.5,3.5,0.000136,1.360485886215e-10,generated demonstration data
2,COARSE_Ei,187.360,59.6,3.6,0.000262,2.620779082259e-10,generated demonstration data
2,COARSE_Ei,187.360,59.7,3.7,0.000476,4.759787047448e-10,generated demonstration data
2,COARSE_Ei,187.360,59.8,3.8,0.000755,7.548519365131e-10,generated demonstration data
2,COARSE_Ei,187.360,59.9,3.9,0.001072,1.071589423761e-09,generated demonstration data
2,COARSE_Ei,187.360,60.0,4.0,0.001397,1.396806947558e-09,generated demonstration data
2,COARSE_Ei,187.360,60.1,4.1,0.001701,1.700945009073e-09,generated demonstration data
2,COARSE_Ei,187.360,60.2,4.2,0.001956,1.956384562444e-09,generated demonstration data
2,COARSE_Ei,187.360,60.3,4.3,0.002139,2.139423958877e-09,generated demonstration data
2,COARSE_Ei,187.360,60.4,4.4,0.002232,2.231973426714e-09,generated demonstration data
2,COARSE_Ei,187.360,60.5,4.5,0.002223,2.222843929709e-09,generated demonstration data
2,COARSE_Ei,187.360,60.6,4.6,0.002109,2.108536704171e-09,generated demonstration data
2,COARSE_Ei,187.360,60.7,4.7,0.001893,1.893476036184e-09,generated demonstration data
2,COARSE_Ei,187.360,60.8,4.8,0.001590,1.589668270288e-09,generated demonstration data
2,COARSE_Ei,187.360,60.9,4.9,0.001216,1.215811705479e-09,generated demonstration data
2,COARSE_Ei,187.360,61.0,5.0,0.000796,7.959219082728e-10,generated demonstration data
2,COARSE_Ei,187.360,61.1,5.1,0.000358,3.575721609835e-10,generated demonstration data
2,COARSE_Ei,187.360,61.2,5.2,-0.000070,-7.012328849522e-11,generated demonstration data
2,COARSE_Ei,187.360,61.3,5.3,-0.000459,-4.586368302345e-10,generated demonstration data
2,COARSE_Ei,187.360,61.4,5.4,-0.000782,-7.821115505317e-10,generated demonstration data
2,COARSE_Ei,187.360,61.5,5.5,-0.001019,-1.019250502898e-09,generated demonstration data
2,COARSE_Ei,187.360,61.6,5.6,-0.001155,-1.154874087286e-09,generated demonstration data
2,COARSE_Ei,187.360,61.7,5.7,-0.001181,-1.181032525002e-09,generated demonstration data
2,COARSE_Ei,187.360,61.8,5.8,-0.001098,-1.097592713975e-09,generated demonstration data
2,COARSE_Ei,187.360,61.9,5.9,-0.000912,-9.122569066597e-10,generated demonstration data
2,COARSE_Ei,187.360,62.0,6.0,-0.000640,-6.400119005261e-10,generated demonstration data
2,COARSE_Ei,187.360,62.1,6.1,-0.000302,-3.020487740979e-10,generated demonstration data
2,COARSE_Ei,187.360,62.2,6.2,0.000076,7.576836175559e-11,generated demonstration data
2,COARSE_Ei,187.360,62.3,6.3,0.000465,4.647733877210e-10,generated demonstration data
2,COARSE_Ei,187.360,62.4,6.4,0.000836,8.355730996257e-10,generated demonstration data
2,COARSE_Ei,187.360,62.5,6.5,0.001160,1.160175354965e-09,generated demonstration data
2,COARSE_Ei,187.360,62.6,6.6,0.001414,1.414015903728e-09,generated demonstration data
2,COARSE_Ei,187.360,62.7,6.7,0.001578,1.577736722726e-09,generated demonstration data
2,COARSE_Ei,187.360,62.8,6.8,0.001639,1.638586715988e-09,generated demonstration data
2,COARSE_Ei,187.360,62.9,6.9,0.001591,1.591343062744e-09,generated demonstration data
2,COARSE_Ei,187.360,63.0,7.0,0.001439,1.438686298355e-09,generated demonstration data
2,COARSE_Ei,187.360,63.1,7.1,0.001191,1.191001875408e-09,generated demonstration data
2,COARSE_Ei,187.360,63.2,7.2,0.000866,8.656225926015e-10,generated demonstration data
2,COARSE_Ei,187.360,63.3,7.3,0.000486,4.855668747824e-10,generated demonstration data
2,COARSE_Ei,187.360,63.4,7.4,0.000078,7.786449115603e-11,generated demonstration data
2,COARSE_Ei,187.360,63.5,7.5,-0.000328,-3.284087471047e-10,generated demonstration data
2,COARSE_Ei,187.360,63.6,7.6,-0.000704,-7.042446387486e-10,generated demonstration data
2,COARSE_Ei,187.360,63.7,7.7,-0.001023,-1.022811151174e-09,generated demonstration data
2,COARSE_Ei,187.360,63.8,7.8,-0.001261,-1.261402812172e-09,generated demonstration data
2,COARSE_Ei,187.360,63.9,7.9,-0.001403,-1.403091343292e-09,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,70.5,0.0,0.268212,2.682116800121e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,70.6,0.1,0.266567,2.665666458276e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,70.7,0.2,0.265021,2.650211285955e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,70.8,0.3,0.263598,2.635975599881e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,70.9,0.4,0.262316,2.623157068622e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.0,0.5,0.261191,2.611908094878e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.1,0.6,0.260232,2.602320778295e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.2,0.7,0.259442,2.594416530277e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.3,0.8,0.258814,2.588141075902e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.4,0.9,0.258337,2.583365188244e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.5,1.0,0.257989,2.579891085417e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.6,1.1,0.257746,2.577464010661e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.7,1.2,0.257579,2.575788140556e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.8,1.3,0.257455,2.574545653160e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,71.9,1.4,0.257342,2.573417559391e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.0,1.5,0.257210,2.572104773794e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.1,1.6,0.257035,2.570347884237e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.2,1.7,0.256794,2.567944175284e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.3,1.8,0.256476,2.564760660067e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.4,1.9,0.256074,2.560742165906e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.5,2.0,0.255591,2.555913878626e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.6,2.1,0.255038,2.550378153388e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.7,2.2,0.254431,2.544305816644e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.8,2.3,0.253792,2.537922584225e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,72.9,2.4,0.253149,2.531491575645e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.0,2.5,0.252529,2.525293188512e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.1,2.6,0.251960,2.519603788983e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.2,2.7,0.251467,2.514674760551e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.3,2.8,0.251071,2.510713427728e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.4,2.9,0.250787,2.507867235419e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.5,3.0,0.250621,2.506212328662e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.6,3.1,0.250575,2.505747358233e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.7,3.2,0.250639,2.506392958448e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.8,3.3,0.250800,2.507996931899e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,73.9,3.4,0.251034,2.510344761754e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.0,3.5,0.251317,2.513174685668e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.1,3.6,0.251620,2.516196234336e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.2,3.7,0.251911,2.519110886370e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.3,3.8,0.252163,2.521633337687e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.4,3.9,0.252351,2.523511839145e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.5,4.0,0.252455,2.524546123930e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.6,4.1,0.252460,2.524601621351e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.7,4.2,0.252362,2.523618923405e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.8,4.3,0.252162,2.521617815279e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,74.9,4.4,0.251870,2.518695575724e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.0,4.5,0.251502,2.515019669334e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.1,4.6,0.251082,2.510815360068e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.2,4.7,0.250635,2.506349144116e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.3,4.8,0.250191,2.501909203845e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.4,4.9,0.249778,2.497784300915e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.5,5.0,0.249424,2.494242640026e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.6,5.1,0.249151,2.491512236975e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.7,5.2,0.248976,2.489764215525e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.8,5.3,0.248910,2.489100245022e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,75.9,5.4,0.248955,2.489545030117e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.0,5.5,0.249104,2.491044397190e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.1,5.6,0.249347,2.493469115803e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.2,5.7,0.249662,2.496624177160e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.3,5.8,0.250026,2.500262855407e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.4,5.9,0.250410,2.504104530393e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.5,6.0,0.250785,2.507854977449e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.6,6.1,0.251123,2.511227650684e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.7,6.2,0.251396,2.513964414158e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.8,6.3,0.251585,2.515854215449e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,76.9,6.4,0.251675,2.516748345506e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.0,6.5,0.251657,2.516571176564e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.1,6.6,0.251533,2.515325598236e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.2,6.7,0.251309,2.513092756813e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.3,6.8,0.251003,2.510026116444e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.4,6.9,0.250634,2.506340273137e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.5,7.0,0.250230,2.502295333471e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.6,7.1,0.249818,2.498177991969e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.7,7.2,0.249428,2.494280680751e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.8,7.3,0.249088,2.490880305080e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,77.9,7.4,0.248822,2.488218108488e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,78.0,7.5,0.248648,2.486482129154e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,78.1,7.6,0.248579,2.485793521101e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,78.2,7.7,0.248620,2.486197733201e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,78.3,7.8,0.248766,2.487661186271e-07,generated demonstration data
3,COARSE_Ei_plus_100mV,287.360,78.4,7.9,0.249007,2.490073689398e-07,generated demonstration data
